Provincia,Partido,Localidad,Población,Adsl,Cablemódem,Dial Up,Fibra Óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud
Buenos Aires,9 De Julio,Alfredo Demarchi (Est. Facundo Quiroga),1853,1,0,0,0,0,0,1,1,1,6588010,-35,-61
Buenos Aires,9 De Julio,Carlos María Naón,497,0,0,0,0,0,0,1,1,1,6588020,-35,-60
Buenos Aires,9 De Julio,Dudignac,2670,0,0,1,0,0,1,1,1,1,6588040,-35,-60
Buenos Aires,9 De Julio,La Aurora (Est. La Niña),531,0,0,0,0,0,0,0,0,1,6588050,-35,-61
Buenos Aires,9 De Julio,Manuel B. Gonnet (Est. French),748,1,0,0,1,0,0,1,1,1,6588060,-35,-60
Buenos Aires,9 De Julio,Marcelino Ugarte (Est. Dennehy),76,0,0,0,0,0,0,1,0,1,6588070,-35,-60
Buenos Aires,9 De Julio,Morea,347,0,0,0,0,0,1,1,0,0,6588080,-35,-60
Buenos Aires,9 De Julio,Norumbega,57,0,0,0,0,0,0,1,0,0,6588090,-35,-60
Buenos Aires,9 De Julio,Patricios,745,1,0,0,0,0,1,1,1,0,6588110,-35,-60
Buenos Aires,9 De Julio,Villa General Fournier (Est. 9 De Julio Sud),566,0,0,0,1,0,1,1,1,1,6588120,-35,-60
Buenos Aires,Adolfo Alsina,Carhué,9660,1,0,1,1,0,1,1,1,1,6007010,-37,-62
Buenos Aires,Adolfo Alsina,Colonia San Miguel Arcángel,563,0,0,0,1,0,0,1,0,1,6007020,-37,-63
Buenos Aires,Adolfo Alsina,Delfín Huergo,14,0,0,0,0,0,0,0,0,0,6007030,-37,-63
Buenos Aires,Adolfo Alsina,Espartillar,21,0,0,0,0,0,0,0,0,1,6007040,-37,-62
Buenos Aires,Azul,Ariel,16,0,0,0,0,0,0,0,0,1,6049010,-36,-59
Buenos Aires,Azul,Azul,55728,1,1,1,1,1,1,1,1,1,6049020,-36,-59
Buenos Aires,Azul,Cacharí,2960,0,0,1,0,0,1,1,1,1,6049030,-36,-59
Buenos Aires,Azul,Chillar,3083,0,0,0,0,1,1,1,1,1,6049040,-37,-59
Buenos Aires,Bahía Blanca,Bahía Blanca,291327,1,1,1,1,1,1,1,1,1,6056010,-38,-62
Buenos Aires,Bahía Blanca,Cabildo,2046,0,1,1,1,0,1,1,1,1,6056020,-38,-61
Buenos Aires,Bahía Blanca,General Daniel Cerri (Est. General Cerri),6745,1,1,1,1,0,1,1,1,1,6056030,-38,-62
Buenos Aires,Bahía Blanca,Grunbein,0,0,0,0,0,0,0,0,1,1,6056020,-38,-62
Buenos Aires,Bahía Blanca,Ingeniero White,0,0,0,0,1,1,0,0,1,1,6056020,-38,-62
Buenos Aires,General Pueyrredón,Chapadmalal,4112,1,0,0,1,1,1,1,1,1,6357080,-38,-57
Buenos Aires,General Pueyrredón,El Marquesado,196,0,0,0,0,0,1,1,0,0,6357090,-38,-57
Buenos Aires,General Pueyrredón,Estacion Camet,0,0,0,0,0,0,0,0,1,1,6357090,-37,-57
Buenos Aires,General Pueyrredón,Estación Chapadmalal,1633,1,0,0,1,0,1,0,1,1,6357100,-38,-57
Buenos Aires,General Pueyrredón,Mar Del Plata,560913,1,1,1,1,1,1,1,1,1,6357110,-38,-57
Buenos Aires,General Pueyrredón,Punta Mogotes,0,0,0,0,0,0,0,0,1,1,6351020,-38,-57
Buenos Aires,General Pueyrredón,Sierra De Los Padres,4249,1,0,0,1,0,1,1,1,1,6357120,-37,-57
Buenos Aires,General Rodríguez,Barrio Ruta 24 Kilómetro 10,0,0,0,0,1,0,0,0,1,1,6364030,-34,-58
Buenos Aires,General Rodríguez,Country Club Bosque Real - Barrio Morabo,0,0,0,0,0,0,0,0,1,1,6364030,-34,-58
Buenos Aires,Pellegrini,Pellegrini,5115,1,1,1,0,1,1,1,1,1,6616030,-36,-63
Buenos Aires,Pergamino,Acevedo,1499,1,1,0,0,0,1,1,1,1,6623010,-33,-60
Buenos Aires,Pergamino,Fontezuela,365,1,0,0,1,0,1,1,0,0,6623020,-33,-60
Buenos Aires,Pergamino,Guerrico,774,0,1,0,0,1,1,0,1,1,6623030,-33,-60
Buenos Aires,Pergamino,Juan A. De La Peña,211,0,0,0,0,0,1,0,0,0,6623040,-33,-60
Buenos Aires,Pergamino,Juan Anchorena (Est. Urquiza),976,1,0,0,1,0,1,1,1,1,6623050,-33,-60
Buenos Aires,Pergamino,La Violeta,1041,1,0,0,0,0,0,1,1,1,6623060,-33,-60
Buenos Aires,Pergamino,Manuel Ocampo,1078,0,0,0,1,0,1,1,1,1,6623070,-33,-60
Buenos Aires,Pergamino,Mariano Benítez,168,0,0,0,0,0,0,1,0,0,6623080,-33,-60
Buenos Aires,Pergamino,Mariano H. Alfonzo (Est. San Patricio),993,0,0,0,0,1,0,0,1,1,6623090,-33,-60
Buenos Aires,Pergamino,Pergamino,91399,1,1,1,1,1,1,1,1,1,6623100,-33,-60
Buenos Aires,Pergamino,Pinzón,393,0,0,0,0,0,1,0,0,0,6623110,-33,-60
Mendoza,Lavalle,El Paramillo,90,0,0,0,0,0,0,0,0,0,50056090,-32,-68
Caba,Comuna 12,Villa Pueyrredon,39654,1,1,1,1,1,1,1,1,1,2000010,-34,-58
Catamarca,Ambato,Los Varela,443,0,0,0,0,1,0,0,0,1,10007110,-27,-65
Catamarca,Ambato,Singuil,295,0,0,0,0,0,0,0,0,1,10007120,-27,-65
Catamarca,Ancasti,Ancasti,361,0,0,0,0,1,0,1,0,1,10014010,-28,-65
Catamarca,Ancasti,Anquincila,202,0,0,0,0,0,0,0,0,0,10014020,-28,-65
Catamarca,Ancasti,La Candelaria,77,0,0,0,0,0,0,0,0,0,10014030,-28,-65
Catamarca,Ancasti,La Majada,154,0,0,0,0,0,0,0,0,0,10014040,-29,-65
Catamarca,Andalgalá,Aconquija,0,0,0,0,0,1,0,0,1,1,10021010,-27,-66
Catamarca,Andalgalá,Alto De Las Juntas,0,0,0,0,0,0,0,0,0,0,10021010,-27,-66
Catamarca,Andalgalá,Amanao,29,0,0,0,0,0,0,1,1,0,10021010,-27,-66
Catamarca,Andalgalá,Andalgalá,12600,1,0,0,1,1,1,1,1,1,10021020,-27,-66
Catamarca,Andalgalá,Buena Vista,0,0,0,0,0,0,0,0,0,0,10021010,-27,-66
Catamarca,Andalgalá,Chaquiago,1096,0,0,0,1,1,1,0,0,0,10021030,-27,-66
Catamarca,Andalgalá,Choya,403,0,0,0,0,0,0,0,0,0,10021040,-27,-66
Catamarca,Andalgalá,El Alamito,734,0,0,0,0,0,1,0,0,0,10021050,-27,-66
Catamarca,Andalgalá,El Lindero,741,0,0,0,0,0,0,1,0,0,10021060,-27,-66
Catamarca,Andalgalá,El Potrero,184,0,0,0,1,0,0,1,0,0,10021070,-27,-66
Catamarca,Andalgalá,La Aguada,378,0,0,0,1,0,1,0,0,0,10021080,-27,-66
Catamarca,Andalgalá,La Mesada,0,0,0,0,1,0,0,0,0,0,10021010,-27,-66
Catamarca,Antofagasta De La Sierra,Antofagasta De La Sierra,730,0,0,0,0,1,0,1,0,1,10028010,-26,-67
Catamarca,Antofagasta De La Sierra,Antofalla,45,0,0,0,0,0,0,0,0,0,10028020,-25,-67
Catamarca,Antofagasta De La Sierra,El Peñón,263,0,0,0,0,0,0,1,0,0,10028030,-26,-67
Catamarca,Antofagasta De La Sierra,Los Nacimientos,43,0,0,0,0,0,0,0,0,0,10028040,-25,-67
Catamarca,Belén,Barranca Larga,330,0,0,0,0,0,0,1,0,0,10035010,-26,-66
Catamarca,Belén,Belén,12256,0,0,0,0,1,1,1,1,1,10035020,-27,-67
Catamarca,Belén,Cóndor Huasi,254,0,0,0,0,0,0,0,0,0,10035030,-27,-67
Catamarca,Belén,Corral Quemado,1204,0,0,0,0,0,0,1,0,0,10035040,-27,-66
Catamarca,Belén,El Durazno,378,0,0,0,0,1,0,0,0,0,10035050,-27,-67
Catamarca,Belén,Farallón Negro,1463,0,0,0,0,0,0,1,0,1,10035060,-27,-66
Catamarca,Belén,Hualfín,987,0,0,0,0,1,0,1,0,1,10035070,-27,-66
Catamarca,Belén,Jacipunco,361,0,0,0,0,0,0,1,0,0,10035080,-27,-67
Cordoba,San Javier,Villa De Las Rosas,3103,0,0,0,0,0,1,0,1,1,14133190,-31,-65
Cordoba,San Javier,Villa Dolores,29854,1,1,0,1,0,1,1,1,1,14133200,-31,-65
Cordoba,San Javier,Villa La Viña,34,0,0,0,0,0,1,0,0,0,14133210,-31,-65
Cordoba,San Justo,Alicia,3305,0,1,0,1,1,0,1,1,1,14140010,-31,-62
Cordoba,San Justo,Altos De Chipión,1718,0,0,0,1,1,0,1,1,1,14140020,-30,-62
Cordoba,San Justo,Arroyito,22147,1,1,0,1,1,1,1,1,1,14140030,-31,-63
Cordoba,San Justo,Balnearia,6105,0,0,0,0,0,0,1,1,1,14140040,-31,-62
Cordoba,San Justo,Brinkmann,9890,1,0,0,1,0,0,1,1,1,14140050,-30,-62
Cordoba,San Justo,Colonia 10 De Julio,73,0,0,0,0,0,0,0,0,0,14140070,-30,-62
Cordoba,San Justo,Colonia Anita,8,0,0,0,0,0,1,0,0,0,14140060,-31,-62
Cordoba,San Justo,Colonia Iturraspe,6,0,0,0,0,0,0,0,0,0,14140215,-31,-62
Cordoba,San Justo,Colonia Las Pichanas,117,0,0,0,0,0,1,0,0,0,14140080,-31,-62
Entre Rios,Uruguay,Caseros,1948,1,0,0,1,0,1,1,1,1,30098020,-32,-58
Entre Rios,Uruguay,Colonia Elía,741,0,0,0,1,0,1,1,0,1,30098030,-32,-58
Entre Rios,Uruguay,Concepción Del Uruguay,72528,1,1,1,1,0,1,1,1,1,30098040,-32,-58
Entre Rios,Uruguay,Estancia San Pedro,0,0,0,0,0,0,1,0,0,0,30098030,-32,-58
Entre Rios,Uruguay,Herrera,1251,1,0,0,0,0,1,1,0,1,30098060,-32,-58
Entre Rios,Uruguay,Las Moscas,383,0,0,0,1,0,1,1,0,1,30098070,-32,-58
Entre Rios,Uruguay,Líbaros,230,0,0,0,0,0,1,1,0,0,30098080,-32,-58
Entre Rios,Uruguay,Pronunciamiento,976,0,0,0,0,0,1,1,1,1,30098100,-32,-58
Entre Rios,Uruguay,Rocamora,281,0,0,0,0,0,1,1,0,0,30098110,-32,-58
Entre Rios,Uruguay,Santa Anita,1187,0,0,0,1,0,1,1,0,1,30098120,-32,-58
Entre Rios,Uruguay,Villa Mantero,1427,1,0,0,1,1,1,1,1,1,30098130,-32,-58
Entre Rios,Uruguay,Villa San Justo,1337,0,0,0,1,0,1,1,1,1,30098140,-32,-58
Entre Rios,Uruguay,Villa San Marcial (Est. Gobernador Urquiza),639,0,0,0,0,0,1,1,1,1,30098150,-32,-58
Entre Rios,Victoria,Antelo,211,0,0,0,0,0,0,0,0,0,30105010,-32,-60
Mendoza,Lavalle,El Vergel,362,0,0,0,0,0,1,0,0,0,50056100,-32,-68
Mendoza,Lavalle,Ingeniero Gustavo André,288,0,0,0,0,0,1,0,0,0,50056110,-32,-68
Mendoza,Lavalle,Jocolí,684,0,0,0,0,0,1,0,0,0,50056120,-32,-68
Mendoza,Lavalle,Jocolí Viejo,422,0,0,0,0,0,1,0,0,0,50056130,-32,-68
Mendoza,Lavalle,Las Violetas,87,0,0,0,0,0,0,0,0,0,50056140,-32,-68
Mendoza,Lavalle,Villa Tulumaya,7870,0,0,0,1,0,1,0,1,1,50056160,-32,-68
Mendoza,Luján De Cuyo,Agrelo,2147,1,0,0,1,0,1,1,1,1,50063010,-33,-68
Mendoza,Luján De Cuyo,Barrio Adina I Y Ii,0,0,0,0,0,0,0,0,1,1,50063060,-33,-68
Mendoza,Luján De Cuyo,Barrio Perdriel Iv,371,0,0,0,1,0,1,0,0,1,50063020,-33,-68
Mendoza,Luján De Cuyo,Cacheuta,636,1,0,0,0,0,1,1,1,1,50063030,-33,-69
Mendoza,Luján De Cuyo,Carrodilla,0,0,0,0,1,0,1,0,1,1,50063060,-32,-68
Mendoza,Luján De Cuyo,Chacras De Coria,0,0,0,0,1,0,1,0,1,1,50063060,-32,-68
Mendoza,Luján De Cuyo,Costa Flores,297,0,0,0,1,0,1,0,1,1,50063040,-33,-68
Mendoza,Luján De Cuyo,El Carmelo,0,0,0,0,0,0,0,0,0,0,50063050,-32,-69
Mendoza,Luján De Cuyo,El Carrizal,344,0,0,0,0,0,1,0,0,1,50063050,-33,-68
Mendoza,Luján De Cuyo,El Salto,297,0,0,0,0,0,1,1,0,0,50063060,-32,-69
Mendoza,Luján De Cuyo,La Puntilla,0,0,0,0,1,0,1,0,0,0,50063060,-32,-68
Mendoza,Rivadavia,Rivadavia,31038,1,0,1,1,1,1,1,1,1,50084140,-33,-68
Mendoza,Rivadavia,Santa María De Oro,609,0,0,0,0,0,1,0,0,0,50084150,-33,-68
Mendoza,San Carlos,Barrio Carrasco,135,0,0,0,0,0,0,0,0,0,50091005,-33,-69
Mendoza,San Carlos,Barrio El Cepillo,109,0,0,0,0,0,1,0,0,0,50091010,-33,-69
Mendoza,San Carlos,Chilecito,1033,0,0,0,0,0,1,0,1,1,50091020,-33,-69
Mendoza,San Carlos,Eugenio Bustos,5591,1,0,0,0,0,1,1,1,1,50091030,-33,-69
Mendoza,San Carlos,La Consulta,8241,1,0,0,0,1,1,1,1,1,50091040,-33,-69
Mendoza,San Carlos,Pareditas,1021,0,0,0,1,0,1,1,1,1,50091050,-33,-69
Mendoza,San Carlos,San Carlos,3886,0,1,0,0,0,1,0,1,1,50091060,-33,-69
Mendoza,San Martín,Alto Salvador,0,0,0,0,1,0,1,1,0,0,50098090,-33,-68
Mendoza,San Martín,Alto Verde,1627,0,0,0,1,0,1,0,0,0,50098020,-33,-68
Mendoza,San Martín,Barrio Chivilcoy,403,0,0,0,0,0,0,0,0,0,50098030,-33,-68
